category,price_mean,price_median,count
Burrito restaurant,1.0,1.0,3
Oaxacan restaurant,3.0,3.0,2
Southern Italian restaurant,2.5,2.5,2
Truck stop,1.0,1.0,2
Uruguayan restaurant,2.0,2.0,2
Small plates restaurant,1.0,1.0,2
Portuguese restaurant,3.0,3.0,2
Nepalese restaurant,1.5,1.5,2
Moroccan restaurant,1.0,1.0,2
Pretzel store,1.0,1.0,2
Steamed bun shop,1.0,1.0,2
Shared-use commercial kitchen,1.0,1.0,2
Self service restaurant,1.0,1.0,2
Distillery,1.0,1.0,2
North Indian restaurant,2.0,2.0,2
Churreria,1.0,1.0,2
Corporate office,2.0,2.0,2
Conveyor belt sushi restaurant,2.0,2.0,2
Eclectic restaurant,3.0,3.0,2
Egyptian restaurant,2.0,2.0,2
Dominican restaurant,1.5,1.5,2
European restaurant,2.5,2.5,2
Frozen yogurt shop,1.0,1.0,2
Hong Kong style fast food restaurant,1.0,1.0,2
Food court,1.0,1.0,2
Californian restaurant,2.0,2.0,2
Cheesesteak restaurant,1.0,1.0,2
Comedy club,2.0,2.0,2
Biryani restaurant,1.0,1.0,2
Modern izakaya restaurant,1.0,1.0,2
Pub,1.5,1.5,2
Organic restaurant,1.0,1.0,2
Bowling alley,1.0,1.0,1
Belgian restaurant,2.0,2.0,1
Banquet hall,1.0,1.0,1
Asian grocery store,1.0,1.0,1
Basque restaurant,1.0,1.0,1
Car inspection station,1.0,1.0,1
Cambodian restaurant,1.0,1.0,1
Brewpub,1.0,1.0,1
Business center,1.0,1.0,1
Chocolate shop,1.0,1.0,1
Cocktail bar,1.0,1.0,1
Church,1.0,1.0,1
Cleaning products supplier,1.0,1.0,1
Hookah bar,3.0,3.0,1
Hawker stall,1.0,1.0,1
Fondue restaurant,3.0,3.0,1
Fresh food market,1.0,1.0,1
Gourmet grocery store,1.0,1.0,1
Goan restaurant,3.0,3.0,1
German restaurant,1.0,1.0,1
Gastropub,3.0,3.0,1
Fried chicken takeaway,1.0,1.0,1
Eritrean restaurant,1.0,1.0,1
East African restaurant,1.0,1.0,1
Ecuadorian restaurant,1.0,1.0,1
Fashion designer,1.0,1.0,1
Falafel restaurant,1.0,1.0,1
Event venue,1.0,1.0,1
Fish & chips restaurant,1.0,1.0,1
Dessert shop,1.0,1.0,1
Dance restaurant,1.0,1.0,1
Country food restaurant,1.0,1.0,1
Beer garden,2.0,2.0,1
Barbecue area,1.0,1.0,1
Israeli restaurant,2.0,2.0,1
Indian takeaway,2.0,2.0,1
Icelandic restaurant,1.0,1.0,1
Indian sizzler restaurant,2.0,2.0,1
Indian grocery store,1.0,1.0,1
Laotian restaurant,1.0,1.0,1
Liquor store,1.0,1.0,1
Lunch restaurant,1.0,1.0,1
Live music bar,1.0,1.0,1
Mexican goods store,1.0,1.0,1
Mandarin restaurant,2.0,2.0,1
Puerto Rican restaurant,1.0,1.0,1
Pickleball court,1.0,1.0,1
Pastry shop,2.0,2.0,1
New England restaurant,2.0,2.0,1
Northern Italian restaurant,1.0,1.0,1
Non-profit organization,1.0,1.0,1
Nicaraguan restaurant,1.0,1.0,1
Pacific Northwest restaurant (US),3.0,3.0,1
Kitchen supply store,1.0,1.0,1
Seafood donburi restaurant,1.0,1.0,1
South African restaurant,2.0,2.0,1
South Asian restaurant,1.0,1.0,1
Soft drinks shop,1.0,1.0,1
Rice restaurant,1.0,1.0,1
Raw food restaurant,1.0,1.0,1
Seafood farm,2.0,2.0,1
Sri Lankan restaurant,1.0,1.0,1
Southwestern restaurant (US),1.0,1.0,1
Tourist attraction,1.0,1.0,1
Traditional American restaurant,2.0,2.0,1
Tapas restaurant,2.0,2.0,1
Swedish restaurant,1.0,1.0,1
Tortilla shop,1.0,1.0,1
Tea house,1.0,1.0,1
Video arcade,1.0,1.0,1
Vegetarian cafe and deli,1.0,1.0,1
Udon noodle restaurant,2.0,2.0,1
Uzbeki restaurant,2.0,2.0,1
Window tinting service,1.0,1.0,1
Wholesale market,1.0,1.0,1
Wok restaurant,1.0,1.0,1
Wine bar,1.0,1.0,1
